certification_id,certification_title,institute
GAB,GIAC Advisory Board,
GCCC,GIAC Critical Controls Certification,
GCDA,GIAC Certified Detection Analyst,
GCED,GIAC Certified Enterprise Defender (GCED),
GCFA,GIAC Certified Forensics Analyst,
GCFE,GIAC Certified Forensic Examiner,
GCFR,GIAC Cloud Forensics Responder,
GCIA,GIAC Certified Intrusion Analyst,
GCIH,Certified Incident Handler Certification,
GCLD,GIAC Cloud Security Essentials,
GCTI,GIAC Cyber Threat Intelligence,
GDAT,GIAC Defending Advanced Threats,
GDPR,Certified in Risk and Information Systems Control,
GDPRF,General Data Protection Regulation Foundation,
GDPRP,General Data Protection Regulation Practitioner,
GDSA,GIAC Defensible Security Architecture,
GICSP,GIAC Global Industrial Cyber Security Professional,
GLEG,GIAC Law of Data Security & Investigations,
GMOB,GIAC Mobile Device Security Analyst,
GMON,GIAC Continuous Monitoring Certification,
GNFA,GIAC Certified Network Forensics Analyst,
GPEN,GIAC Penetration Tester (GPEN),
GRC,"Governance, Risk and Compliance Specialist",
GRCA,"Governance, Risk and Compliance Analyst",
GRCP,"Governance, Risk and Compliance Professional",
GRID,GIAC Response and Industrial Defense,
GSEC,GIAC Security Essentials Certification,
GSLC,GIAC Security Leadership Certification,
GSNA,GIAC Systems and Network Auditor,
GSTRT,"GIAC Strategic Planning, Policy, and Leadership",
GWAPT,GIAC Web Application Penetration Testing (GWAPT),
GWEB,GIAC Certified Web Application Defender,
GXFA,Forensics Analyst,
GXPN,GIAC Exploit Researcher and Advanced Penetration Tester,
ICS-CST,ICS Cyber Security Threats,
IPMP,International Project Management Professional,
ISMS-LI,ISO 27001 Senior Lead Implementer,
ISO 31000-LRM,ISO 31000 Lead Risk Manager,
ISO-22301,ISO-22301 Business Continuity Management Systems,
ISO-22301-LA,ISO-22301 Lead Auditor,
ISO-22301-LI,ISO-IEC 22301 Business Continuity Management Lead Implementer,
ISO-27001-LA,ISO-27001-2013 Lead Auditor,
ISO-27001-LI,Information Security Management Systems: Lead Implementer,
ISO-27005,ISO/IEC 27005 – Information Security Risk Management,
ISO-27032,Cybersecurity Manager,
ISO-27701 -LA,ISO27701 LEAD AUDITOR,
ISO-31000,ISO-31000 Risk Manager,
ISO-31000-LRM,ISO 31000 Lead Risk Manager,
ISO-9001-LA,ISO 9001 2015 Lead Auditor,
ISO-IEC-27005,ISO-27005 Senior Risk Manager,
ITIL,IT Information Library Foundations Certification (ITIL),
ITIL V4,Information Technology Infrastructure Library,
ITIL v4,ITIL 4 Foundation,
ITIL4,ITIL4 Foundation Information Security Management,
ITILv4,Information Security Management,
JNCIA,Juniper Network Certified Internet Associate (JNCIA),
JNCIP-SEC,Juniper Networks Certified Professional Security,
JNJS,Juniper Networks Certified Associate,
LRM,ISO-27005 Lead Risk Manager,
LRPA,LogRhythm Platform Administrator,
LRSA,LogRhythm Security Analyst,
MCAD,Microsoft Certified Application Developer,
MCDBA,Microsoft Certified Database Administrator,
MCSE,Microsoft Certified Solutions Expert,
MCT,Microsoft Certified Trainer,
MSCS,Master of Science in Computer Science,
NSE-1,Fortinet Network Security Expert – Level 1,
NSE-2,Fortinet Network Security Expert – Level 2,
NSE-4,Network Security Professional,
NSE-7,Fortinet Network Security Expert Level 7,
OSCE3,Offensive Security Certified Expert 3,
OSCP,Offensive Security Certified Professional,
OSDA,OffSec Defense Analyst,
OSED,Offensive Security Exploit Developer,
OSEP,Offensive Security Experienced Penetration Tester,
OSWE,Offensive Security Web Expert,
PCNSA,Palo Alto Networks Certificate Network Security Administrator,
PCNSE,Palo Alto Networks Certificate Network Security Administrator,
PDPL,Personal Data Protection Law Certification,
PEN-100,Network Penetration Testing Essentials,
PMI-ACP,PMI Agile Certified Practitioner,
PMP,Certified in Risk and Information Systems Control,
PR2,Prince 2,
PenTest+,CompTIA PenTest+,
RH124,Red Hat Certified System Administrator (RH124),
RHCSA,Red Hat Certified System Administrator in Red Hat OpenStack,
RHSA,Red Hat Certified System Administrator,
RMP,Risk Management Professional,
SANS FOR578,SANS-FOR578-Cyber Threat intelligence certificate of completion,
SANS-FOR-572,"Advanced Network Forensics: Threat Hunting, Analysis, and Incident Response",
SEC-510,Public Cloud Security,
SEC-511,Cybersecurity Engineering: Advanced Threat Detection and Monitoring,
SSCP,Systems Security Certified Practitioner,
THDF-508,"Advanced Incident Response, Threat Hunting, and Digital Forensics",
TUV,TÜV Certified Professional,
eCDFP,eLearnSecurity Certified Digital Forensics Professional,
eCIR,eLearnSecurity Certified Incident Responder,
eCMAP,eLearnSecurity Cloud Malware Analysis Professional,
eCPPT,eLearnSecurity Certified Professional Penetration Tester,
eCTHP,eLearnSecurity Certified Threat Hunting Professional,
eCTHP ,Certified Threat Hunting Professional,
eJPT,eLearnSecurity Junior Penetration Tester,
eNDP,Network Defense Professional,
eWPT,eLearnSecurity Web Application Penetration Tester,
eWPTX,eLearnSecurity Certified Web Penetration Tester eXtreme version 2,
